"","species","n"
"1","Physeter macrocephalus",5162
"2","Thalassarche chrysostoma",4811
"3","Mirounga angustirostris",4338
"4","Phoebastria immutabilis",3053
"5","Phoebastria nigripes",2291
"6","Dermochelys coriacea",2203
"7","Caretta caretta",1959
"8","Puffinus griseus",1828
"9","Diomedea exulans",1418
"10","Thalassarche melanophris",1357
"11","Stenella coeruleoalba",1256
"12","Oceanodroma leucorhoa",1236
"13","Stenella attenuata",1160
"14","Anguilla japonica",1035
"15","Bolinichthys longipes",943
"16","Triphoturus nigrescens",885
"17","Lepidochelys olivacea",882
"18","Mirounga leonina",850
"19","Eubalaena australis",803
"20","Stenella longirostris",761
"21","Symbolophorus evermanni",756
"22","Hygophum proximum",718
"23","Lampanyctus hubbsi",706
"24","Notolychnus valdiviae",673
"25","Aptenodytes patagonicus",625
"26","Ceratoscopelus warmingii",607
"27","Diaphus diademophilus",601
"28","Delphinus delphis",597
"29","Pterodroma lessonii",563
"30","Pterodroma cookii",554
"31","Diaphus luetkeni",534
"32","Puffinus tenuirostris",522
"33","Procellaria aequinoctialis",510
"34","Diaphus fulgens",466
"35","Eubalaena japonica",466
"36","Diogenichthys atlanticus",461
"37","Vinciguerria nimbaria",436
"38","Daption capense",428
"39","Hoplostethus atlanticus",397
"40","Diaphus signatus",383
"41","Balaenoptera musculus",367
"42","Tursiops truncatus",366
"43","Lampanyctus steinbecki",360
"44","Arctocephalus australis",342
"45","Diaphus parri",337
"46","Macruronus novaezelandiae",313
"47","Neocyttus rhomboidalis",296
"48","Globicephala macrorhynchus",279
"49","Sternoptyx diaphana",279
"50","Coryphaenoides serrulatus",266
"51","Diaphus regani",253
"52","Chauliodus sloani",247
"53","Mora moro",243
"54","Deania calcea",242
"55","Diaphus lucidus",239
"56","Lepidorhynchus denticulatus",239
"57","Pterodroma inexpectata",238
"58","Grampus griseus",232
"59","Fritillaria borealis",227
"60","Oikopleura (Vexillaria) labradoriensis",225
"61","Genypterus blacodes",218
"62","Halargyreus johnsonii",215
"63","Myctophum nitidulum",213
"64","Centroscymnus owstonii",212
"65","Hydrolagus bemisi",210
"66","Steno bredanensis",193
"67","Cyclothone pallida",192
"68","Fregetta tropica",192
"69","Gonostoma elongatum",192
"70","Diaphus malayanus",191
"71","Harriotta raleighana",191
"72","Halobaena caerulea",188
"73","Exocoetus monocirrhus",184
"74","Myctophum aurolaternatum",184
"75","Diastobranchus capensis",181
"76","Coryphaenoides subserrulatus",179
"77","Exocoetus volitans",176
"78","Phoebetria palpebrata",176
"79","Pterodroma leucoptera",173
"80","Rhinochimaera pacifica",173
"81","Alepocephalus australis",172
"82","Ziphius cavirostris",170
"83","Allocyttus verrucosus",166
"84","Balaenoptera physalus",166
"85","Coelorinchus innotabilis",164
"86","Etmopterus baxteri",161
"87","Coelorinchus fasciatus",160
"88","Myctophum spinosum",157
"89","Micromesistius australis",155
"90","Centroscymnus crepidater",151
"91","Oikopleura (Coecaria) longicauda",146
"92","Diaphus jenseni",139
"93","Argentina elongata",137
"94","Caprodon schlegelii",135
"95","Cyttus traversi",133
"96","Diaphus splendidus",126
"97","Balaenoptera edeni",125
"98","Stenobrachius leucopsarus",125
"99","Diaphus fragilis",123
"100","Thunnus orientalis",122
"101","Myctophum asperum",121
"102","Kajikia audax",120
"103","Bolinichthys photothorax",118
"104","Oceanodroma furcata",118
"105","Myctophum obtusirostre",117
"106","Coelorinchus matamua",116
"107","Oikopleura (Coecaria) fusiformis",116
"108","Pachyptila turtur",116
"109","Phalaropus fulicarius",114
"110","Alepocephalus antipodianus",113
"111","Bassanago bulbiceps",113
