"","species","n"
"1","Northern Elephant Seal","144995"
"2","Salmon Shark"," 51420"
"3","Leatherback Sea Turtle"," 48588"
"4","California Sea Lion"," 48054"
"5","Shortfin Mako Shark"," 35221"
"6","Blue Marlin"," 29516"
"7","Southern Elephant Seal"," 18008"
"8","Black Marlin"," 16317"
"9","Blue Shark"," 16129"
"10","Loggerhead Sea Turtle"," 12114"
"11","Northern Fur Seal"," 10352"
"12","Blue Whale","  9337"
"13","Striped Marlin","  8392"
"14","Laysan Albatross","  8280"
"15","Black-footed Albatross","  7392"
"16","White Shark","  7248"
"17","Weddell Seal","  5420"
"18","Humboldt Squid","  3869"
"19","Pacific Sailfish","  3121"
"20","Ocean Sunfish","  2796"
"21","Sooty Shearwater","  2742"
"22","Common Thresher Shark","  2494"
"23","Juvenile White Shark","  2069"
"24","Manta Ray","  1745"
"25","Swordfish","  1745"
"26","Dolphin-fish","  1461"
"27","Sperm Whale","  1425"
"28","Humpback Whale","  1355"
"29","Galapagos Shark","  1215"
"30","Silky Shark","  1136"
"31","Shortbill Spearfish","  1016"
"32","Yellowfin Tuna","   805"
"33","Galapagos Sea Lion","   788"
"34","Crabeater Seal","   739"
"35","Sandtiger Shark","   563"
"36","Fin Whale","   497"
"37","Porbeagle Shark","   458"
"38","South American Sea Lion","   209"
"39","Grey Reef Shark","   183"
"40","Basking Shark","   141"
"41","Atlantic Sailfish","   107"
"42","Devil Ray","    97"
"43","Smooth Hammerhead","    68"
"44","Oceanic Whitetip Shark","    44"
