"","species","n","commonName"
"1","Physeter macrocephalus",5162,"sperm whale"
"2","Thalassarche chrysostoma",4811,"Grey-headed albatross"
"3","Mirounga angustirostris",4338,"Northern elephant seal"
"4","Phoebastria immutabilis",3053,"Laysan albatross"
"5","Phoebastria nigripes",2291,"Hawaiian black-footed albatross"
"6","Dermochelys coriacea",2203,"leatherback sea turtle"
"7","Caretta caretta",1959,"Loggerhead turtle"
"8","Puffinus griseus",1828,"Sooty shearwater"
"9","Diomedea exulans",1418,"Wandering albatross"
"10","Thalassarche melanophris",1357,"Black-browed albatross"
"11","Stenella coeruleoalba",1256,"striped dolphin"
"12","Oceanodroma leucorhoa",1236,"Leach's storm-petrel"
"13","Stenella attenuata",1160,"bridled dolphin"
"14","Anguilla japonica",1035,"Japanese eel"
"15","Bolinichthys longipes",943,"popeye lanternfish"
"16","Triphoturus nigrescens",885,"highseas lampfish"
"17","Lepidochelys olivacea",882,"Pacific ridley"
"18","Mirounga leonina",850,"Southern elephant seal"
"19","Eubalaena australis",803,"Southern right whale"
"20","Stenella longirostris",761,"spinner dolphin"
"21","Symbolophorus evermanni",756,"Evermann's lanternfish"
"22","Hygophum proximum",718,"lantern fish"
"23","Lampanyctus hubbsi",706,"Lampanyctus hubbsi"
"24","Notolychnus valdiviae",673,"Topside lanternfish"
"25","Aptenodytes patagonicus",625,"king penguin"
"26","Ceratoscopelus warmingii",607,"Warming's lanternfish"
"27","Diaphus diademophilus",601,"Diaphus diademophilus"
"28","Delphinus delphis",597,"saddleback dolphin"
"29","Pterodroma lessonii",563,"white-headed petrel"
"30","Pterodroma cookii",554,"Cook's petrel"
"31","Diaphus luetkeni",534,"Luetken's lanternfish"
"32","Puffinus tenuirostris",522,"Short-tailed shearwater"
"33","Procellaria aequinoctialis",510,"White-chinned petrel"
"34","Diaphus fulgens",466,"Diaphus fulgens"
"35","Eubalaena japonica",466,"North Pacific right whale"
"36","Diogenichthys atlanticus",461,"longfin lanternfish"
"37","Vinciguerria nimbaria",436,"oceanic lightfish"
"38","Daption capense",428,"Cape petrel"
"39","Hoplostethus atlanticus",397,"orange roughy"
"40","Diaphus signatus",383,"Diaphus signatus"
"41","Balaenoptera musculus",367,"Blue whale"
"42","Tursiops truncatus",366,"bottlenose dolphin"
"43","Lampanyctus steinbecki",360,"Longfin lampfish"
"44","Arctocephalus australis",342,"South American fur seal"
"45","Diaphus parri",337,"Parr's lanternfish"
"46","Macruronus novaezelandiae",313,"blue grenadier"
"47","Neocyttus rhomboidalis",296,"spiky oreo"
"48","Globicephala macrorhynchus",279,"short-finned pilot whale"
"49","Sternoptyx diaphana",279,"diaphanous hatchet fish"
"50","Coryphaenoides serrulatus",266,"serrulate whiptail"
"51","Diaphus regani",253,"Regan's lanternfish"
"52","Chauliodus sloani",247,"Sloane's viperfish"
"53","Mora moro",243,"Common mora"
"54","Deania calcea",242,"birdbeak dogfish"
"55","Diaphus lucidus",239,"spotlight lanternfish"
"56","Lepidorhynchus denticulatus",239,"Thorntooth grenadier"
"57","Pterodroma inexpectata",238,"Mottled petrel"
"58","Grampus griseus",232,"Risso's dolphin"
"59","Fritillaria borealis",227,"Fritillaria borealis"
"60","Oikopleura (Vexillaria) labradoriensis",225,"Oikopleura (Vexillaria) labradoriensis"
"61","Genypterus blacodes",218,"pink cusk-eel"
"62","Halargyreus johnsonii",215,"slender codling"
"63","Myctophum nitidulum",213,"pearly lanternfish"
"64","Centroscymnus owstonii",212,"roughskin dogfish"
"65","Hydrolagus bemisi",210,"pale ghost shark"
"66","Steno bredanensis",193,"rough-toothed dolphin"
"67","Cyclothone pallida",192,"tan bristlemouth"
"68","Fregetta tropica",192,"black-bellied storm-petrel"
"69","Gonostoma elongatum",192,"elongated bristlemouth fish"
"70","Diaphus malayanus",191,"Malayan lanternfish"
"71","Harriotta raleighana",191,"Pacific longnose chimaera"
"72","Halobaena caerulea",188,"Blue petrel"
"73","Exocoetus monocirrhus",184,"babel flyingish"
"74","Myctophum aurolaternatum",184,"golden lanternfish"
"75","Diastobranchus capensis",181,"basketwork eel"
"76","Coryphaenoides subserrulatus",179,"longrayed whiptail"
"77","Exocoetus volitans",176,"tropical two-wing flyingfish"
"78","Phoebetria palpebrata",176,"Light-mantled albatross"
"79","Pterodroma leucoptera",173,"Gould's petrel"
"80","Rhinochimaera pacifica",173,"Pacific spookfish"
"81","Alepocephalus australis",172,"small scaled brown slickhead"
"82","Ziphius cavirostris",170,"Cuvier's beaked whale"
"83","Allocyttus verrucosus",166,"Warty oreo"
"84","Balaenoptera physalus",166,"Fin whale"
"85","Coelorinchus innotabilis",164,"notable whiptail"
"86","Etmopterus baxteri",161,"New Zealand lanternshark"
"87","Coelorinchus fasciatus",160,"banded whiptail"
"88","Myctophum spinosum",157,"spiny lantern fish"
"89","Micromesistius australis",155,"southern blue whiting"
"90","Centroscymnus crepidater",151,"longnose velvet dogfish"
"91","Oikopleura (Coecaria) longicauda",146,"Oikopleura (Coecaria) longicauda"
"92","Diaphus jenseni",139,"Jensen's lanternfish"
"93","Argentina elongata",137,"Argentina elongata"
"94","Caprodon schlegelii",135,"sunrise perch"
"95","Cyttus traversi",133,"King dory"
"96","Diaphus splendidus",126,"Horned lanternfish"
"97","Balaenoptera edeni",125,"pygmy Bryde's whale"
"98","Stenobrachius leucopsarus",125,"northern lampfish"
"99","Diaphus fragilis",123,"fragile lantern fish"
"100","Thunnus orientalis",122,"Pacific bluefin tuna"
"101","Myctophum asperum",121,"prickly lanternfish"
"102","Kajikia audax",120,"striped marlin"
"103","Bolinichthys photothorax",118,"spurcheek lanternfish"
"104","Oceanodroma furcata",118,"Fork-tailed storm-petrel"
"105","Myctophum obtusirostre",117,"bluntsnout lanternfish"
"106","Coelorinchus matamua",116,"Mahia whiptail"
"107","Oikopleura (Coecaria) fusiformis",116,"Oikopleura (Coecaria) fusiformis"
"108","Pachyptila turtur",116,"Fairy prion"
"109","Phalaropus fulicarius",114,"red phalarope"
"110","Alepocephalus antipodianus",113,"Antipodean slickhead"
"111","Bassanago bulbiceps",113,"swollen-headed conger eel"
"112","Fritillaria pellucida",113,"Fritillaria pellucida"
"113","Nemadactylus macropterus",112,"tarakihi"
"114","Trachyrincus longirostris",111,"Slender unicorn rattail"
"115","Etmopterus lucifer",109,"blackbelly lanternshark"
"116","Kogia sima",108,"dwarf sperm whale"
"117","Orcinus orca",108,"killer whale"
"118","Lampanyctus tenuiformis",107,"Slender lanternfish"
"119","Squalus acanthias",106,"spiny dogfish"
